"Country Code","Series Code","Time","Value"
"ABW","SI.SPR.PC40.ZG",2016,..
"ABW","SI.SPR.PC40.ZG",2015,..
"ABW","SI.SPR.PC40.ZG",2014,..
"ABW","SI.SPR.PC40.ZG",2013,..
"ABW","SI.SPR.PC40.ZG",2012,..
"ABW","SI.SPR.PC40.ZG",2011,..
"ABW","SI.SPR.PC40.ZG",2010,..
"ABW","SI.SPR.PC40.ZG",2009,..
"ABW","SI.SPR.PC40.ZG",2008,..
"AFG","SI.SPR.PC40.ZG",2016,..
"AFG","SI.SPR.PC40.ZG",2015,..
"AFG","SI.SPR.PC40.ZG",2014,..
"AFG","SI.SPR.PC40.ZG",2013,..
"AFG","SI.SPR.PC40.ZG",2012,..
"AFG","SI.SPR.PC40.ZG",2011,..
"AFG","SI.SPR.PC40.ZG",2010,..
"AFG","SI.SPR.PC40.ZG",2009,..
"AFG","SI.SPR.PC40.ZG",2008,..
"AGO","SI.SPR.PC40.ZG",2016,..
"AGO","SI.SPR.PC40.ZG",2015,..
"AGO","SI.SPR.PC40.ZG",2014,..
"AGO","SI.SPR.PC40.ZG",2013,..
"AGO","SI.SPR.PC40.ZG",2012,..
"AGO","SI.SPR.PC40.ZG",2011,..
"AGO","SI.SPR.PC40.ZG",2010,..
"AGO","SI.SPR.PC40.ZG",2009,..
"AGO","SI.SPR.PC40.ZG",2008,..
"ALB","SI.SPR.PC40.ZG",2016,..
"ALB","SI.SPR.PC40.ZG",2015,..
"ALB","SI.SPR.PC40.ZG",2014,..
"ALB","SI.SPR.PC40.ZG",2013,..
"ALB","SI.SPR.PC40.ZG",2012,-1.22
"ALB","SI.SPR.PC40.ZG",2011,..
"ALB","SI.SPR.PC40.ZG",2010,..
"ALB","SI.SPR.PC40.ZG",2009,..
"ALB","SI.SPR.PC40.ZG",2008,..
"AND","SI.SPR.PC40.ZG",2016,..
"AND","SI.SPR.PC40.ZG",2015,..
"AND","SI.SPR.PC40.ZG",2014,..
"AND","SI.SPR.PC40.ZG",2013,..
"AND","SI.SPR.PC40.ZG",2012,..
"AND","SI.SPR.PC40.ZG",2011,..
"AND","SI.SPR.PC40.ZG",2010,..
"AND","SI.SPR.PC40.ZG",2009,..
"AND","SI.SPR.PC40.ZG",2008,..
