"Country Code","Series Code","Time","Value"
"ABW","SP.DYN.LE00.IN",2016,75.867
"AFG","SP.DYN.LE00.IN",2016,63.673
"AGO","SP.DYN.LE00.IN",2016,61.547
"ALB","SP.DYN.LE00.IN",2016,78.345
"AND","SP.DYN.LE00.IN",2016,..
"ARE","SP.DYN.LE00.IN",2016,77.256
"ARG","SP.DYN.LE00.IN",2016,76.577
"ARM","SP.DYN.LE00.IN",2016,74.618
"ASM","SP.DYN.LE00.IN",2016,..
"ATG","SP.DYN.LE00.IN",2016,76.364
"AUS","SP.DYN.LE00.IN",2016,82.5
"AUT","SP.DYN.LE00.IN",2016,80.890243902439
"AZE","SP.DYN.LE00.IN",2016,72.026
"BDI","SP.DYN.LE00.IN",2016,57.481
"BEL","SP.DYN.LE00.IN",2016,80.9926829268293
"BEN","SP.DYN.LE00.IN",2016,60.907
"BFA","SP.DYN.LE00.IN",2016,60.361
"BGD","SP.DYN.LE00.IN",2016,72.489
"BGR","SP.DYN.LE00.IN",2016,74.6146341463415
"BHR","SP.DYN.LE00.IN",2016,76.9
"BHS","SP.DYN.LE00.IN",2016,75.675
"BIH","SP.DYN.LE00.IN",2016,76.911
"BLR","SP.DYN.LE00.IN",2016,73.8268292682927
"BLZ","SP.DYN.LE00.IN",2016,70.384
"BMU","SP.DYN.LE00.IN",2016,81.2270731707317
"BOL","SP.DYN.LE00.IN",2016,69.125
"BRA","SP.DYN.LE00.IN",2016,75.509
"BRB","SP.DYN.LE00.IN",2016,75.906
"BRN","SP.DYN.LE00.IN",2016,77.203
"BTN","SP.DYN.LE00.IN",2016,70.197
"BWA","SP.DYN.LE00.IN",2016,66.797
"CAF","SP.DYN.LE00.IN",2016,52.171
"CAN","SP.DYN.LE00.IN",2016,82.300512195122
"CHE","SP.DYN.LE00.IN",2016,82.8975609756098
"CHI","SP.DYN.LE00.IN",2016,81.107
"CHL","SP.DYN.LE00.IN",2016,79.522
"CHN","SP.DYN.LE00.IN",2016,76.252
"CIV","SP.DYN.LE00.IN",2016,53.582
"CMR","SP.DYN.LE00.IN",2016,58.073
"COD","SP.DYN.LE00.IN",2016,59.621
"COG","SP.DYN.LE00.IN",2016,64.625
"COL","SP.DYN.LE00.IN",2016,74.381
"COM","SP.DYN.LE00.IN",2016,63.701
"CPV","SP.DYN.LE00.IN",2016,72.798
"CRI","SP.DYN.LE00.IN",2016,79.831
"CUB","SP.DYN.LE00.IN",2016,79.742
"CUW","SP.DYN.LE00.IN",2016,77.8731707317073
"CYM","SP.DYN.LE00.IN",2016,..
"CYP","SP.DYN.LE00.IN",2016,80.508
"CZE","SP.DYN.LE00.IN",2016,78.3317073170732
"DEU","SP.DYN.LE00.IN",2016,80.6414634146341
"DJI","SP.DYN.LE00.IN",2016,62.465
"DMA","SP.DYN.LE00.IN",2016,..
"DNK","SP.DYN.LE00.IN",2016,80.7048780487805
"DOM","SP.DYN.LE00.IN",2016,73.861
"DZA","SP.DYN.LE00.IN",2016,76.078
"ECU","SP.DYN.LE00.IN",2016,76.327
"EGY","SP.DYN.LE00.IN",2016,71.484
"ERI","SP.DYN.LE00.IN",2016,65.092
"ESP","SP.DYN.LE00.IN",2016,82.8317073170732
"EST","SP.DYN.LE00.IN",2016,77.7365853658537
"ETH","SP.DYN.LE00.IN",2016,65.475
"FIN","SP.DYN.LE00.IN",2016,81.7804878048781
"FJI","SP.DYN.LE00.IN",2016,70.269
"FRA","SP.DYN.LE00.IN",2016,82.2731707317073
"FRO","SP.DYN.LE00.IN",2016,82.2414634146342
"FSM","SP.DYN.LE00.IN",2016,69.195
"GAB","SP.DYN.LE00.IN",2016,66.105
"GBR","SP.DYN.LE00.IN",2016,80.9560975609756
"GEO","SP.DYN.LE00.IN",2016,73.261
"GHA","SP.DYN.LE00.IN",2016,62.742
"GIB","SP.DYN.LE00.IN",2016,..
"GIN","SP.DYN.LE00.IN",2016,60.015
"GMB","SP.DYN.LE00.IN",2016,61.193
"GNB","SP.DYN.LE00.IN",2016,57.403
"GNQ","SP.DYN.LE00.IN",2016,57.681
"GRC","SP.DYN.LE00.IN",2016,81.0365853658537
"GRD","SP.DYN.LE00.IN",2016,73.659
"GRL","SP.DYN.LE00.IN",2016,..
"GTM","SP.DYN.LE00.IN",2016,73.409
"GUM","SP.DYN.LE00.IN",2016,79.575
"GUY","SP.DYN.LE00.IN",2016,66.65
"HKG","SP.DYN.LE00.IN",2016,84.2268292682927
"HND","SP.DYN.LE00.IN",2016,73.575
"HRV","SP.DYN.LE00.IN",2016,78.0219512195122
"HTI","SP.DYN.LE00.IN",2016,63.33
"HUN","SP.DYN.LE00.IN",2016,75.5682926829269
"IDN","SP.DYN.LE00.IN",2016,69.191
"IMN","SP.DYN.LE00.IN",2016,..
"IND","SP.DYN.LE00.IN",2016,68.56
"IRL","SP.DYN.LE00.IN",2016,81.6073170731707
"IRN","SP.DYN.LE00.IN",2016,75.953
"IRQ","SP.DYN.LE00.IN",2016,69.862
"ISL","SP.DYN.LE00.IN",2016,82.4682926829268
"ISR","SP.DYN.LE00.IN",2016,82.4073170731707
"ITA","SP.DYN.LE00.IN",2016,82.5439024390244
"JAM","SP.DYN.LE00.IN",2016,75.97
"JOR","SP.DYN.LE00.IN",2016,74.329
"JPN","SP.DYN.LE00.IN",2016,83.9848780487805
"KAZ","SP.DYN.LE00.IN",2016,72.3
"KEN","SP.DYN.LE00.IN",2016,67.032
"KGZ","SP.DYN.LE00.IN",2016,70.9512195121951
"KHM","SP.DYN.LE00.IN",2016,68.981
"KIR","SP.DYN.LE00.IN",2016,66.317
"KNA","SP.DYN.LE00.IN",2016,..
"KOR","SP.DYN.LE00.IN",2016,82.0243902439024
"KWT","SP.DYN.LE00.IN",2016,74.694
"LAO","SP.DYN.LE00.IN",2016,66.683
"LBN","SP.DYN.LE00.IN",2016,79.584
"LBR","SP.DYN.LE00.IN",2016,62.505
"LBY","SP.DYN.LE00.IN",2016,71.934
"LCA","SP.DYN.LE00.IN",2016,75.496
"LIE","SP.DYN.LE00.IN",2016,82.6560975609756
"LKA","SP.DYN.LE00.IN",2016,75.284
"LSO","SP.DYN.LE00.IN",2016,54.174
"LTU","SP.DYN.LE00.IN",2016,74.3219512195122
"LUX","SP.DYN.LE00.IN",2016,82.2926829268293
"LVA","SP.DYN.LE00.IN",2016,74.5292682926829
"MAC","SP.DYN.LE00.IN",2016,83.849
"MAF","SP.DYN.LE00.IN",2016,79.6219512195122
"MAR","SP.DYN.LE00.IN",2016,75.821
"MCO","SP.DYN.LE00.IN",2016,..
"MDA","SP.DYN.LE00.IN",2016,71.61
"MDG","SP.DYN.LE00.IN",2016,65.932
"MDV","SP.DYN.LE00.IN",2016,77.339
"MEX","SP.DYN.LE00.IN",2016,77.118
"MHL","SP.DYN.LE00.IN",2016,..
"MKD","SP.DYN.LE00.IN",2016,75.703
"MLI","SP.DYN.LE00.IN",2016,57.966
"MLT","SP.DYN.LE00.IN",2016,81.7975609756098
"MMR","SP.DYN.LE00.IN",2016,66.612
"MNE","SP.DYN.LE00.IN",2016,77.116
"MNG","SP.DYN.LE00.IN",2016,69.287
"MNP","SP.DYN.LE00.IN",2016,..
"MOZ","SP.DYN.LE00.IN",2016,58.311
"MRT","SP.DYN.LE00.IN",2016,63.238
"MUS","SP.DYN.LE00.IN",2016,74.3948780487805
"MWI","SP.DYN.LE00.IN",2016,63.223
"MYS","SP.DYN.LE00.IN",2016,75.3
"NAM","SP.DYN.LE00.IN",2016,64.388
"NCL","SP.DYN.LE00.IN",2016,76.9615007371216
"NER","SP.DYN.LE00.IN",2016,60.058
"NGA","SP.DYN.LE00.IN",2016,53.428
"NIC","SP.DYN.LE00.IN",2016,75.404
"NLD","SP.DYN.LE00.IN",2016,81.509756097561
"NOR","SP.DYN.LE00.IN",2016,82.509756097561
"NPL","SP.DYN.LE00.IN",2016,70.253
"NRU","SP.DYN.LE00.IN",2016,..
"NZL","SP.DYN.LE00.IN",2016,81.6124390243903
"OMN","SP.DYN.LE00.IN",2016,77.029
"PAK","SP.DYN.LE00.IN",2016,66.481
"PAN","SP.DYN.LE00.IN",2016,78.001
"PER","SP.DYN.LE00.IN",2016,74.983
"PHL","SP.DYN.LE00.IN",2016,69.094
"PLW","SP.DYN.LE00.IN",2016,..
"PNG","SP.DYN.LE00.IN",2016,65.544
"POL","SP.DYN.LE00.IN",2016,77.4512195121951
"PRI","SP.DYN.LE00.IN",2016,79.7883170731707
"PRK","SP.DYN.LE00.IN",2016,71.685
"PRT","SP.DYN.LE00.IN",2016,81.1268292682927
"PRY","SP.DYN.LE00.IN",2016,73.12
"PSE","SP.DYN.LE00.IN",2016,73.473
"PYF","SP.DYN.LE00.IN",2016,76.813
"QAT","SP.DYN.LE00.IN",2016,78.184
"ROU","SP.DYN.LE00.IN",2016,75.0121951219512
"RUS","SP.DYN.LE00.IN",2016,71.5929268292683
"RWA","SP.DYN.LE00.IN",2016,67.129
"SAU","SP.DYN.LE00.IN",2016,74.561
"SDN","SP.DYN.LE00.IN",2016,64.486
"SEN","SP.DYN.LE00.IN",2016,67.146
"SGP","SP.DYN.LE00.IN",2016,82.7951219512195
"SLB","SP.DYN.LE00.IN",2016,70.726
"SLE","SP.DYN.LE00.IN",2016,51.835
"SLV","SP.DYN.LE00.IN",2016,73.512
"SMR","SP.DYN.LE00.IN",2016,..
"SOM","SP.DYN.LE00.IN",2016,56.293
"SRB","SP.DYN.LE00.IN",2016,75.2390243902439
