"Country Code","Series Code","Time","Value"
"ABW","SH.MED.SAOP.P5",2016,..
"ABW","SH.MED.SAOP.P5",2015,..
"ABW","SH.MED.SAOP.P5",2014,..
"ABW","SH.MED.SAOP.P5",2013,..
"ABW","SH.MED.SAOP.P5",2012,..
"ABW","SH.MED.SAOP.P5",2011,..
"AFG","SH.MED.SAOP.P5",2016,..
"AFG","SH.MED.SAOP.P5",2015,..
"AFG","SH.MED.SAOP.P5",2014,0.03
"AFG","SH.MED.SAOP.P5",2013,..
"AFG","SH.MED.SAOP.P5",2012,..
"AFG","SH.MED.SAOP.P5",2011,..
"AGO","SH.MED.SAOP.P5",2016,..
"AGO","SH.MED.SAOP.P5",2015,..
"AGO","SH.MED.SAOP.P5",2014,..
"AGO","SH.MED.SAOP.P5",2013,..
"AGO","SH.MED.SAOP.P5",2012,..
"AGO","SH.MED.SAOP.P5",2011,..
"ALB","SH.MED.SAOP.P5",2016,..
"ALB","SH.MED.SAOP.P5",2015,..
"ALB","SH.MED.SAOP.P5",2014,..
"ALB","SH.MED.SAOP.P5",2013,11.63
"ALB","SH.MED.SAOP.P5",2012,..
"ALB","SH.MED.SAOP.P5",2011,..
"AND","SH.MED.SAOP.P5",2016,..
"AND","SH.MED.SAOP.P5",2015,..
"AND","SH.MED.SAOP.P5",2014,60.27
"AND","SH.MED.SAOP.P5",2013,..
"AND","SH.MED.SAOP.P5",2012,..
"AND","SH.MED.SAOP.P5",2011,..
"ARE","SH.MED.SAOP.P5",2016,..
"ARE","SH.MED.SAOP.P5",2015,..
"ARE","SH.MED.SAOP.P5",2014,..
"ARE","SH.MED.SAOP.P5",2013,..
"ARE","SH.MED.SAOP.P5",2012,..
"ARE","SH.MED.SAOP.P5",2011,..
"ARG","SH.MED.SAOP.P5",2016,..
"ARG","SH.MED.SAOP.P5",2015,..
"ARG","SH.MED.SAOP.P5",2014,10.47
"ARG","SH.MED.SAOP.P5",2013,..
"ARG","SH.MED.SAOP.P5",2012,..
"ARG","SH.MED.SAOP.P5",2011,..
"ARM","SH.MED.SAOP.P5",2016,..
"ARM","SH.MED.SAOP.P5",2015,98.95
"ARM","SH.MED.SAOP.P5",2014,73.65
"ARM","SH.MED.SAOP.P5",2013,..
"ARM","SH.MED.SAOP.P5",2012,..
"ARM","SH.MED.SAOP.P5",2011,..
"ASM","SH.MED.SAOP.P5",2016,..
"ASM","SH.MED.SAOP.P5",2015,..
"ASM","SH.MED.SAOP.P5",2014,..
"ASM","SH.MED.SAOP.P5",2013,..
"ASM","SH.MED.SAOP.P5",2012,..
"ASM","SH.MED.SAOP.P5",2011,..
"ATG","SH.MED.SAOP.P5",2016,..
"ATG","SH.MED.SAOP.P5",2015,..
"ATG","SH.MED.SAOP.P5",2014,14.29
"ATG","SH.MED.SAOP.P5",2013,..
"ATG","SH.MED.SAOP.P5",2012,..
"ATG","SH.MED.SAOP.P5",2011,..
"AUS","SH.MED.SAOP.P5",2016,63.9
"AUS","SH.MED.SAOP.P5",2015,72.58
"AUS","SH.MED.SAOP.P5",2014,..
"AUS","SH.MED.SAOP.P5",2013,..
"AUS","SH.MED.SAOP.P5",2012,49.33
"AUS","SH.MED.SAOP.P5",2011,..
"AUT","SH.MED.SAOP.P5",2016,..
"AUT","SH.MED.SAOP.P5",2015,..
"AUT","SH.MED.SAOP.P5",2014,141.15
"AUT","SH.MED.SAOP.P5",2013,..
"AUT","SH.MED.SAOP.P5",2012,..
"AUT","SH.MED.SAOP.P5",2011,..
"AZE","SH.MED.SAOP.P5",2016,..
"AZE","SH.MED.SAOP.P5",2015,..
"AZE","SH.MED.SAOP.P5",2014,67.63
"AZE","SH.MED.SAOP.P5",2013,..
"AZE","SH.MED.SAOP.P5",2012,62.93
"AZE","SH.MED.SAOP.P5",2011,..
"BDI","SH.MED.SAOP.P5",2016,0.17
"BDI","SH.MED.SAOP.P5",2015,..
"BDI","SH.MED.SAOP.P5",2014,..
"BDI","SH.MED.SAOP.P5",2013,..
"BDI","SH.MED.SAOP.P5",2012,..
"BDI","SH.MED.SAOP.P5",2011,..
"BEL","SH.MED.SAOP.P5",2016,..
"BEL","SH.MED.SAOP.P5",2015,..
"BEL","SH.MED.SAOP.P5",2014,65.38
"BEL","SH.MED.SAOP.P5",2013,..
"BEL","SH.MED.SAOP.P5",2012,73.53
"BEL","SH.MED.SAOP.P5",2011,..
"BEN","SH.MED.SAOP.P5",2016,..
"BEN","SH.MED.SAOP.P5",2015,..
"BEN","SH.MED.SAOP.P5",2014,1.8
"BEN","SH.MED.SAOP.P5",2013,..
"BEN","SH.MED.SAOP.P5",2012,..
"BEN","SH.MED.SAOP.P5",2011,..
"BFA","SH.MED.SAOP.P5",2016,..
"BFA","SH.MED.SAOP.P5",2015,..
"BFA","SH.MED.SAOP.P5",2014,0.6
"BFA","SH.MED.SAOP.P5",2013,..
"BFA","SH.MED.SAOP.P5",2012,..
"BFA","SH.MED.SAOP.P5",2011,..
"BGD","SH.MED.SAOP.P5",2016,..
"BGD","SH.MED.SAOP.P5",2015,..
"BGD","SH.MED.SAOP.P5",2014,3.02
"BGD","SH.MED.SAOP.P5",2013,2.93
"BGD","SH.MED.SAOP.P5",2012,..
"BGD","SH.MED.SAOP.P5",2011,..
"BGR","SH.MED.SAOP.P5",2016,..
"BGR","SH.MED.SAOP.P5",2015,..
"BGR","SH.MED.SAOP.P5",2014,..
"BGR","SH.MED.SAOP.P5",2013,120.83
"BGR","SH.MED.SAOP.P5",2012,..
"BGR","SH.MED.SAOP.P5",2011,..
"BHR","SH.MED.SAOP.P5",2016,..
"BHR","SH.MED.SAOP.P5",2015,..
"BHR","SH.MED.SAOP.P5",2014,..
"BHR","SH.MED.SAOP.P5",2013,..
"BHR","SH.MED.SAOP.P5",2012,24.44
"BHR","SH.MED.SAOP.P5",2011,..
"BHS","SH.MED.SAOP.P5",2016,..
"BHS","SH.MED.SAOP.P5",2015,..
"BHS","SH.MED.SAOP.P5",2014,..
"BHS","SH.MED.SAOP.P5",2013,..
"BHS","SH.MED.SAOP.P5",2012,..
"BHS","SH.MED.SAOP.P5",2011,..
"BIH","SH.MED.SAOP.P5",2016,..
"BIH","SH.MED.SAOP.P5",2015,..
"BIH","SH.MED.SAOP.P5",2014,32.3
"BIH","SH.MED.SAOP.P5",2013,11.61
