"Country Code","Series Code","Time","Value"
"AFG","NY.GDP.MKTP.KD",2016,21413614654.5612
"AFG","NY.GDP.MKTP.KD",2015,20918533232.7445
"AFG","NY.GDP.MKTP.KD",2014,20648035625.8094
"AFG","NY.GDP.MKTP.KD",2013,20107051004.7208
"AFG","NY.GDP.MKTP.KD",2012,19352203805.6294
"AFG","NY.GDP.MKTP.KD",2011,16911126453.2276
"AFG","NY.GDP.MKTP.KD",2010,15936800636.2487
"AFG","NY.GDP.MKTP.KD",2009,14697331940.6464
"AFG","NY.GDP.MKTP.KD",2008,12144482858.18
"AFG","NY.GDP.MKTP.KD",2007,11721187594.2052
"AGO","NY.GDP.MKTP.KD",2016,103228482979.809
"AGO","NY.GDP.MKTP.KD",2015,103919917621.964
"AGO","NY.GDP.MKTP.KD",2014,100886286610.958
"AGO","NY.GDP.MKTP.KD",2013,96261432368.2645
"AGO","NY.GDP.MKTP.KD",2012,90120963241.2186
"AGO","NY.GDP.MKTP.KD",2011,85702615836.4404
"AGO","NY.GDP.MKTP.KD",2010,82470913120.7314
"AGO","NY.GDP.MKTP.KD",2009,79753199398.1396
"AGO","NY.GDP.MKTP.KD",2008,77874196512.1845
"AGO","NY.GDP.MKTP.KD",2007,68420444001.4995
"BDI","NY.GDP.MKTP.KD",2016,2297241391.84594
"BDI","NY.GDP.MKTP.KD",2015,2310420828.24428
"BDI","NY.GDP.MKTP.KD",2014,2404713060.02967
"BDI","NY.GDP.MKTP.KD",2013,2297622743.75537
"BDI","NY.GDP.MKTP.KD",2012,2196704928.33329
"BDI","NY.GDP.MKTP.KD",2011,2111823040.97987
"BDI","NY.GDP.MKTP.KD",2010,2026864469.36388
"BDI","NY.GDP.MKTP.KD",2009,1952928499.631
"BDI","NY.GDP.MKTP.KD",2008,1887463244.56885
"BDI","NY.GDP.MKTP.KD",2007,1796760633.53677
"BEN","NY.GDP.MKTP.KD",2016,9103831277.94119
"BEN","NY.GDP.MKTP.KD",2015,8755259213.87036
"BEN","NY.GDP.MKTP.KD",2014,8575645913.59089
"BEN","NY.GDP.MKTP.KD",2013,8063036667.99131
"BEN","NY.GDP.MKTP.KD",2012,7521973830.26825
"BEN","NY.GDP.MKTP.KD",2011,7176751732.08258
"BEN","NY.GDP.MKTP.KD",2010,6970240895.49888
"BEN","NY.GDP.MKTP.KD",2009,6825749997.99683
"BEN","NY.GDP.MKTP.KD",2008,6671033590.82541
"BEN","NY.GDP.MKTP.KD",2007,6359822426.97484
"BFA","NY.GDP.MKTP.KD",2016,12379492024.1838
"BFA","NY.GDP.MKTP.KD",2015,11688050575.8539
"BFA","NY.GDP.MKTP.KD",2014,11249917444.6573
"BFA","NY.GDP.MKTP.KD",2013,10783339866.97
"BFA","NY.GDP.MKTP.KD",2012,10192906645.5417
"BFA","NY.GDP.MKTP.KD",2011,9575057057.97374
"BFA","NY.GDP.MKTP.KD",2010,8979966766.07232
"BFA","NY.GDP.MKTP.KD",2009,8522045465.25424
"BFA","NY.GDP.MKTP.KD",2008,8276883001.25427
"BFA","NY.GDP.MKTP.KD",2007,7714172808.44856
"BGD","NY.GDP.MKTP.KD",2016,167771375851.352
"BGD","NY.GDP.MKTP.KD",2015,156629549345.307
"BGD","NY.GDP.MKTP.KD",2014,146997351891.58
"BGD","NY.GDP.MKTP.KD",2013,138596866823.802
"BGD","NY.GDP.MKTP.KD",2012,130734992458.51
"BGD","NY.GDP.MKTP.KD",2011,122731159566.449
"BGD","NY.GDP.MKTP.KD",2010,115279077465.226
"BGD","NY.GDP.MKTP.KD",2009,109194950718.059
"BGD","NY.GDP.MKTP.KD",2008,103950517391.466
"BGD","NY.GDP.MKTP.KD",2007,98053769823.2911
"BTN","NY.GDP.MKTP.KD",2016,2234759341.867
"BTN","NY.GDP.MKTP.KD",2015,2069399707.46106
"BTN","NY.GDP.MKTP.KD",2014,1941321989.27355
"BTN","NY.GDP.MKTP.KD",2013,1835844373.82886
"BTN","NY.GDP.MKTP.KD",2012,1797336501.23336
"BTN","NY.GDP.MKTP.KD",2011,1710580806.57351
"BTN","NY.GDP.MKTP.KD",2010,1585472534.10547
"BTN","NY.GDP.MKTP.KD",2009,1419010481.1982
"BTN","NY.GDP.MKTP.KD",2008,1330440105.87773
"BTN","NY.GDP.MKTP.KD",2007,1269887377.45454
"CAF","NY.GDP.MKTP.KD",2016,1496561292.75325
"CAF","NY.GDP.MKTP.KD",2015,1431687440.71423
"CAF","NY.GDP.MKTP.KD",2014,1366115455.13087
"CAF","NY.GDP.MKTP.KD",2013,1352053851.07305
"CAF","NY.GDP.MKTP.KD",2012,2135944447.3605
"CAF","NY.GDP.MKTP.KD",2011,2051567618.09266
"CAF","NY.GDP.MKTP.KD",2010,1986014845.63184
"CAF","NY.GDP.MKTP.KD",2009,1927297141.51407
"CAF","NY.GDP.MKTP.KD",2008,1894908620.1949
"CAF","NY.GDP.MKTP.KD",2007,1856768170.3158
"COD","NY.GDP.MKTP.KD",2016,30547324905.0149
"COD","NY.GDP.MKTP.KD",2015,29831371977.5534
"COD","NY.GDP.MKTP.KD",2014,27901642013.7047
"COD","NY.GDP.MKTP.KD",2013,25487867528.7943
"COD","NY.GDP.MKTP.KD",2012,23502004276.8069
"COD","NY.GDP.MKTP.KD",2011,21932132984.3665
"COD","NY.GDP.MKTP.KD",2010,20523285374.187
"COD","NY.GDP.MKTP.KD",2009,19166509369.447
"COD","NY.GDP.MKTP.KD",2008,18634483660.3004
"COD","NY.GDP.MKTP.KD",2007,17542316525.5473
"COM","NY.GDP.MKTP.KD",2016,611370805.212453
"COM","NY.GDP.MKTP.KD",2015,598210181.091478
"COM","NY.GDP.MKTP.KD",2014,592198663.146751
"COM","NY.GDP.MKTP.KD",2013,580236282.924548
"COM","NY.GDP.MKTP.KD",2012,560614766.143757
"COM","NY.GDP.MKTP.KD",2011,544286180.870411
"COM","NY.GDP.MKTP.KD",2010,530493353.218937
"COM","NY.GDP.MKTP.KD",2009,519073731.226769
"COM","NY.GDP.MKTP.KD",2008,509145396.115511
"COM","NY.GDP.MKTP.KD",2007,507115580.528921
"DJI","NY.GDP.MKTP.KD",2016,..
"DJI","NY.GDP.MKTP.KD",2015,1465243951.77097
"DJI","NY.GDP.MKTP.KD",2014,1375809350.63202
"DJI","NY.GDP.MKTP.KD",2013,1297930970.22735
"DJI","NY.GDP.MKTP.KD",2012,1236125825.40744
"DJI","NY.GDP.MKTP.KD",2011,1179032592.01788
"DJI","NY.GDP.MKTP.KD",2010,1128611700.3618
"DJI","NY.GDP.MKTP.KD",2009,1090583938.28285
"DJI","NY.GDP.MKTP.KD",2008,1038328725.8753
"DJI","NY.GDP.MKTP.KD",2007,981407460.056192
"ERI","NY.GDP.MKTP.KD",2016,..
"ERI","NY.GDP.MKTP.KD",2015,..
"ERI","NY.GDP.MKTP.KD",2014,..
"ERI","NY.GDP.MKTP.KD",2013,..
"ERI","NY.GDP.MKTP.KD",2012,..
"ERI","NY.GDP.MKTP.KD",2011,2300794306.42964
"ERI","NY.GDP.MKTP.KD",2010,2117039512.19512
"ERI","NY.GDP.MKTP.KD",2009,2071584990.21171
"ERI","NY.GDP.MKTP.KD",2008,1994276818.23643
"ERI","NY.GDP.MKTP.KD",2007,2210534025.98508
"ETH","NY.GDP.MKTP.KD",2016,52347226230.2332
"ETH","NY.GDP.MKTP.KD",2015,48667131306.0419
"ETH","NY.GDP.MKTP.KD",2014,44085556181.8802
"ETH","NY.GDP.MKTP.KD",2013,39984181570.2945
"ETH","NY.GDP.MKTP.KD",2012,36157859262.3837
"ETH","NY.GDP.MKTP.KD",2011,33279878092.46
